project_id,project_name,start_date,end_date,planned_duration_days,actual_duration_days,budget,actual_cost,team_size,complexity_score,risk_level,customer_satisfaction,cost_overrun_pct,success
1,Project_1,2020-12-08,2021-06-28,162,202,164373.64,204617.49,3,6,Medium,91.98,24.48,0
2,Project_2,2020-05-23,2021-02-14,239,267,182880.76,162764.82,23,3,High,100.0,-11.0,0
3,Project_3,2019-03-09,2019-10-02,152,207,195147.84,199085.59,24,8,Low,78.19,2.02,0
4,Project_4,2020-12-20,2021-03-01,74,71,431901.41,467391.57,23,9,High,77.64,8.22,0
5,Project_5,2020-07-14,2021-01-31,166,201,111479.6,85428.27,8,6,Medium,87.88,-23.37,0
6,Project_6,2019-07-01,2019-11-20,131,142,369009.95,414286.03,8,7,Medium,85.95,12.27,0
7,Project_7,2019-03-14,2019-12-01,248,262,298768.99,313429.19,18,1,Low,99.62,4.91,1
8,Project_8,2020-06-17,2020-10-06,80,111,183429.56,246105.13,6,5,Medium,78.62,34.17,0
9,Project_9,2019-03-17,2019-09-21,162,188,238901.39,354128.44,13,5,Low,78.96,48.23,0
10,Project_10,2019-09-15,2020-02-18,181,156,165293.12,189228.23,11,10,Low,76.88,14.48,0
11,Project_11,2022-12-15,2023-09-08,270,267,325181.17,311572.05,5,4,Medium,90.94,-4.19,1
12,Project_12,2021-06-12,2022-03-10,274,271,86717.38,63713.05,21,6,Medium,83.97,-26.53,1
13,Project_13,2020-10-10,2021-03-06,134,147,52333.19,75344.86,10,7,Medium,71.69,43.97,0
14,Project_14,2019-10-26,2020-09-05,262,315,332552.49,477310.12,7,9,Low,66.68,43.53,0
15,Project_15,2020-03-24,2020-08-17,147,146,137423.28,124009.69,6,1,Low,93.62,-9.76,1
16,Project_16,2021-05-20,2021-12-13,176,207,81923.41,102922.75,8,6,High,88.58,25.63,0
17,Project_17,2021-12-12,2022-07-03,159,203,228552.72,173779.52,4,7,Medium,84.75,-23.97,0
18,Project_18,2019-09-05,2020-04-13,163,221,72845.84,60678.57,22,3,High,100.0,-16.7,0
19,Project_19,2019-02-24,2019-10-24,211,242,448977.72,392158.37,13,8,High,90.47,-12.66,0
20,Project_20,2019-09-20,2020-02-27,190,160,62427.55,58406.91,6,5,Low,93.42,-6.44,1
21,Project_21,2019-02-21,2019-09-14,209,205,310489.2,464698.35,17,9,High,67.31,49.67,0
22,Project_22,2022-10-06,2023-02-26,112,143,247313.36,311006.45,8,5,Medium,88.28,25.75,0
23,Project_23,2022-07-20,2022-11-04,61,107,352411.76,355006.03,24,9,High,83.4,0.74,0
24,Project_24,2022-08-28,2022-12-25,147,119,197668.7,254929.48,19,10,High,76.92,28.97,0
25,Project_25,2022-04-06,2023-03-06,295,334,119768.73,171533.19,8,4,High,93.83,43.22,0
26,Project_26,2022-12-21,2023-09-05,217,258,491828.4,721493.54,21,9,High,72.01,46.7,0
27,Project_27,2021-08-24,2021-11-25,97,93,427520.08,319054.44,4,5,Medium,98.25,-25.37,1
28,Project_28,2019-01-19,2019-07-05,189,167,437182.08,444009.74,17,10,High,81.02,1.56,0
29,Project_29,2019-02-08,2019-11-17,251,282,162613.11,127717.13,13,9,Low,86.33,-21.46,0
30,Project_30,2022-08-15,2023-04-25,247,253,67475.63,65352.04,10,3,Low,100.0,-3.15,1
31,Project_31,2022-06-07,2022-09-15,80,100,186469.48,155840.73,21,4,Medium,90.87,-16.43,0
32,Project_32,2020-01-28,2020-09-17,220,233,291687.09,355122.82,15,9,High,89.04,21.75,0
33,Project_33,2020-09-05,2021-05-19,263,256,196993.06,199084.08,14,10,Low,88.22,1.06,1
34,Project_34,2021-05-16,2021-10-28,117,165,422541.05,373321.69,7,6,Medium,88.19,-11.65,0
35,Project_35,2022-09-02,2022-12-20,81,109,172194.31,157170.41,8,2,Low,100.0,-8.72,0
36,Project_36,2021-07-15,2022-05-07,295,296,484363.32,478684.68,24,7,Low,94.36,-1.17,1
37,Project_37,2020-07-30,2021-02-20,148,205,255769.32,232228.28,6,2,Low,100.0,-9.2,0
38,Project_38,2019-11-14,2020-03-22,108,129,428910.38,455757.03,21,2,Low,87.27,6.26,0
39,Project_39,2019-07-30,2020-06-03,278,309,137471.02,99783.72,22,1,High,94.86,-27.41,0
40,Project_40,2022-02-20,2022-07-15,118,145,235109.26,217196.47,3,3,Low,94.26,-7.62,0
41,Project_41,2022-06-02,2023-02-07,229,250,364780.49,375346.49,22,6,Medium,89.76,2.9,1
42,Project_42,2020-06-16,2021-03-03,279,260,112258.89,132715.32,19,8,High,85.64,18.22,0
43,Project_43,2019-03-24,2019-12-04,247,255,109735.44,100601.73,14,9,High,87.39,-8.32,0
44,Project_44,2020-08-14,2021-04-09,267,238,486291.59,392217.56,17,7,Medium,82.82,-19.35,1
45,Project_45,2022-02-28,2022-04-15,74,46,371567.8,282748.35,3,4,Medium,95.9,-23.9,1
46,Project_46,2020-02-13,2020-11-13,249,274,68480.38,99462.65,16,6,Medium,80.48,45.24,0
47,Project_47,2020-01-10,2020-11-04,249,299,229469.41,237113.32,8,5,Medium,94.3,3.33,0
48,Project_48,2022-11-21,2023-08-10,234,262,245084.33,285506.11,7,8,High,88.46,16.49,0
49,Project_49,2020-06-24,2021-01-30,249,220,384819.19,552346.85,13,1,Low,89.61,43.53,0
50,Project_50,2020-12-08,2021-02-27,110,81,162887.24,124804.0,6,1,Low,100.0,-23.38,1
51,Project_51,2021-12-19,2022-06-27,167,190,132950.15,186306.93,15,6,Medium,78.61,40.13,0
52,Project_52,2022-10-03,2023-03-22,114,170,86392.83,98597.57,13,10,High,72.46,14.13,0
53,Project_53,2021-08-19,2021-11-20,123,93,242741.51,201928.75,5,2,Low,99.15,-16.81,1
54,Project_54,2019-05-15,2019-11-09,190,178,359824.96,370261.36,3,5,Medium,92.67,2.9,1
55,Project_55,2021-08-26,2022-05-12,288,259,76187.12,100725.61,8,1,Low,90.2,32.21,0
56,Project_56,2021-08-31,2022-01-10,110,132,461846.18,500778.0,20,7,Medium,80.59,8.43,0
57,Project_57,2020-11-25,2021-06-20,194,207,249058.5,370656.04,12,1,Low,78.45,48.82,0
58,Project_58,2022-12-03,2023-04-21,80,139,157904.31,158123.98,7,4,Medium,99.22,0.14,0
59,Project_59,2022-12-02,2023-04-14,132,133,92242.98,119884.75,12,9,High,77.31,29.97,0
60,Project_60,2022-07-04,2023-03-26,226,265,132289.7,134193.56,14,1,Low,100.0,1.44,0
61,Project_61,2020-03-07,2020-05-24,77,78,470576.3,641551.43,4,4,Medium,83.24,36.33,0
62,Project_62,2019-12-27,2020-08-11,191,228,337221.77,389580.57,15,6,Medium,86.49,15.53,0
63,Project_63,2021-12-24,2022-06-14,148,172,282513.32,212113.67,10,6,Medium,95.69,-24.92,0
64,Project_64,2020-02-09,2020-07-21,119,163,345700.1,252173.53,4,8,Low,85.42,-27.05,0
65,Project_65,2022-01-26,2022-05-04,73,98,246052.8,198584.71,22,1,Low,98.98,-19.29,0
66,Project_66,2021-07-28,2021-09-20,68,54,378517.69,269102.45,3,7,Medium,87.19,-28.91,1
